user_id,name,gender,age,email,phone_number,location_id,preferred_services,preferred_time_slots,booking_history_count,cancellation_rate,average_rating_given,wallet_balance,last_booking_date,subscription_status,feedback_score,Total_Bookings,First_Booking_Date,Last_Booking_Date,Days_Since_Last_Booking,Avg_Booking_Gap,Service_Types_Used,Preferred_Service_Type,Total_Spend,Avg_Spend_Per_Booking,Last_Spend_Amount,Discount_Usage_Frequency,Cancellation_Count,Reschedule_Count,No_Show_Count,High-Value_Customer,App_Logins_Per_Month,Total_App_Logins,Browsing_History_Depth,Search_Queries_Performed,Click-Through-Rate (CTR),Referral_Usage,Social_Media_Engagement,Time_Spent_on_Platform (min),Feedback_Score,Last_Feedback_Score,Negative_Reviews_Count,Complaints_Raised,Issue_Resolution_Time,Customer_Support_Contacts,Inactive_Days,Booking_Frequency_Change,Spend_Change_Rate,Service_Type_Change,Unsubscribed_Notifications,Downgrade_Service_Usage,Churn_Label
0,Roy Braun,male,21,roy.braun@yahoo.com,919995808689,48,carpentry,Evening,28,0.28,4.1,3378.5,2024-11-30,0,5.3,28,2012-05-19,2024-06-02,303,104.0,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",1,80077.43,2859.908214285714,2832.6,1.0,15,0,0,1,18,216,7,21,0.26146696315438794,2,8,42,5.3,1.8429506014380244,1,2,6.1972110432430085,5,303,0.42911438883975805,0.04931002379769811,Home Cleaning,0,0,1
1,Joseph Holsten,male,37,joseph.holsten@company.com,918305794335,15,carpentry,Morning,27,0.33,4.6,3108.59,2024-07-21,1,3.4,27,2012-09-03,2023-07-04,637,-37.0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",1,89705.48,3322.425185185185,4495.1,1.0,11,0,0,1,14,168,7,19,0.34723519634327504,4,1,45,3.4,3.9778639713382336,7,2,8.318365414371835,15,637,-0.10244705445846436,-0.12260686743296212,Beauty,1,1,1
2,Wilma Mcinnis,female,48,wilma.mcinnis@company.com,917227064135,53,electrical,Evening,32,0.87,1.0,1350.08,2024-12-15,1,8.9,32,2012-06-27,2024-11-17,135,5.0,"[2, 3, 4, 5, 6, 7, 8, 9, 10]",4,84332.15,2635.3796875,4657.37,1.0,11,0,0,1,8,96,2,47,0.15819833514978254,3,6,63,8.9,3.0945687980152905,0,4,8.759047409968895,15,135,0.46283891176648806,-0.2669067971447576,Repair,1,0,0
3,Paula Daniel,female,23,paula.daniel@yahoo.com,917993922604,25,carpentry,Morning,27,0.64,3.4,693.24,2024-10-17,1,9.8,27,2012-05-13,2023-09-08,571,10.0,"[2, 3, 4, 6, 7, 8, 9, 10]",3,89178.98999999999,3302.925555555555,4067.74,1.0,12,0,0,1,9,108,3,25,0.3302215678540594,4,4,30,9.8,4.2808922485425285,4,4,8.538099088588929,9,571,-0.32301413816186464,-0.12101046642213387,Repair,0,1,1
4,Patricia Carson,female,44,patricia.carson@outlook.com,917126306825,8,cleaning,Evening,10,0.16,4.9,258.53,2025-01-17,0,5.6,10,2014-09-17,2023-11-04,514,58.0,"[1, 3, 4, 5, 6, 10]",6,33265.14,3326.514,4180.02,1.0,2,0,0,1,6,72,8,48,0.25731144368570447,2,14,82,5.6,3.208357231535138,8,4,2.022507879189267,11,514,0.08029329049301959,-0.23425498493605423,None,1,1,1
5,Trina Thomas,none,47,trina.thomas@company.com,917048590424,29,carpentry,Morning,35,0.76,5.0,2391.74,2025-02-15,1,1.9,35,2012-03-01,2024-09-11,202,5.0,"[1, 2, 3, 5, 6, 7, 8, 9, 10]",1,100542.6,2872.6457142857143,3928.62,1.0,18,0,0,1,16,192,5,42,0.2350635670350374,0,6,53,1.9,4.535985160278553,9,4,6.9862108311016335,5,202,0.2874492292130877,0.33446361238759637,Home Cleaning,0,1,1
6,Jesse Decelle,male,46,jesse.decelle@outlook.com,918869743166,9,beauty,Morning,19,0.63,3.7,3710.53,2025-02-03,1,7.8,19,2012-01-12,2023-07-10,631,61.0,"[2, 3, 4, 5, 6, 7, 8, 9, 10]",6,57186.78,3009.8305263157895,1695.55,1.0,8,0,0,1,1,12,8,37,0.4937439735261944,1,18,12,7.8,4.484958596595417,9,3,1.3150652244517618,19,631,0.3115623971473709,-0.4350631546443643,Repair,1,0,1
7,Gregoria Gil,female,21,gregoria.gil@gmail.com,917924087664,54,electrical,Evening,44,0.88,2.3,2361.01,2024-07-20,1,8.7,44,2012-06-08,2024-05-21,315,8.0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",4,111626.15,2536.9579545454544,1662.69,1.0,17,0,0,1,4,48,8,13,0.36883533366366134,1,7,20,8.7,1.24311970185662,4,2,1.6820283328074517,4,315,0.4677785605754712,0.2115197578715502,Home Cleaning,1,0,1
8,Jack Sabo,none,41,jack.sabo@outlook.com,916545040277,48,carpentry,Afternoon,5,0.71,4.9,1881.14,2024-04-22,0,3.8,5,2013-04-15,2022-12-16,837,-302.0,"[1, 3, 6, 8]",1,16134.789999999999,3226.9579999999996,1697.87,1.0,4,0,0,1,5,60,2,38,0.19447891961099015,1,6,73,3.8,3.91179419644004,6,3,7.976706168229144,13,837,-0.39158411843757035,0.0859413410373645,Home Cleaning,1,0,1
9,Debbie Helms,none,35,debbie.helms@gmail.com,916806605936,49,plumbing,Evening,13,0.6,1.9,2367.83,2024-09-24,0,1.2,13,2012-12-20,2023-02-23,768,83.0,"[3, 4, 6, 7, 8, 9, 10]",10,36095.65,2776.5884615384616,3919.09,1.0,5,0,0,1,3,36,1,10,0.24094462444643772,3,0,32,1.2,3.4275006058512867,1,0,1.9807100992109934,12,768,-0.19754403392059083,0.08374465634605532,None,1,0,1
